"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop","amplicon_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"677284693","KJ865755.1",134,0,1,641,624,508,525,508,641,98,443759,"Carcharhinus macloti","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"642988111","KJ720818.1",134,0,1,644,627,511,528,511,644,98,263686,"Carcharhinus melanopterus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"456368036","KC470543.1",134,0,1,644,627,511,528,511,644,98,7807,"Carcharhinus obscurus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"2044005964","MW528216.1",134,0,1,644,627,511,528,511,644,98,303935,"Carcharhinus perezii","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"662020340","KJ740750.1",134,0,1,644,627,511,528,511,644,98,7808,"Carcharhinus plumbeus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"37722035","AY147897.1",134,0,1,619,602,486,503,486,619,98,7810,"Carcharhinus porosus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"557469652","KF612341.1",134,0,1,644,627,511,528,511,644,98,280671,"Carcharhinus sorrah","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"2077241117","LC645334.1",135,0,1,513,496,379,396,379,513,99,1443565,"Carcharhinus tjutjot","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"779775286","KP091436.1",135,0,1,645,628,511,528,511,645,99,1443565,"Carcharhinus tjutjot","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1178769503","KX858829.1",134,0,1,641,624,508,525,508,641,98,7819,"Galeocerdo cuvier","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Galeocerdo",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1178769489","KX858828.1",134,0,1,641,624,508,525,508,641,98,7819,"Galeocerdo cuvier","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Galeocerdo",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1540627085","MH648005.1",134,0,1,641,624,508,525,508,641,98,7819,"Galeocerdo cuvier","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Galeocerdo",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"531991339","KF111728.1",134,0,1,641,624,508,525,508,641,98,7819,"Galeocerdo cuvier","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Galeocerdo",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1782093849","MN795524.1",131,0,1,131,114,1,15,1,131,95,7819,"Galeocerdo cuvier","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Galeocerdo",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709575","KT698062.1",134,0,2,641,624,508,525,508,641,98,1213682,"Glyphis fowlerae","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709547","KT698060.1",134,0,2,641,624,508,525,508,641,98,1213682,"Glyphis fowlerae","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709505","KT698057.1",134,0,2,641,624,508,525,508,641,98,1213682,"Glyphis fowlerae","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709393","KT698049.1",134,0,2,641,624,508,525,508,641,98,1213682,"Glyphis fowlerae","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709519","KT698058.1",134,0,2,641,624,508,525,508,641,98,1213683,"Glyphis gangeticus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709463","KT698054.1",134,0,2,641,624,508,525,508,641,98,1213683,"Glyphis gangeticus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709351","KT698046.1",134,0,2,641,624,508,525,508,641,98,1213683,"Glyphis gangeticus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709267","KT698040.1",134,0,2,641,624,508,525,508,641,98,1213683,"Glyphis gangeticus","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709533","KT698059.1",134,0,1,642,625,509,526,509,642,98,496093,"Glyphis garricki","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709449","KT698053.1",134,0,1,642,625,509,526,509,642,98,496093,"Glyphis garricki","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709323","KT698044.1",134,0,1,642,625,509,526,509,642,98,496093,"Glyphis garricki","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"939709295","KT698042.1",134,0,1,642,625,509,526,509,642,98,496093,"Glyphis garricki","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"557637667","KF646786.1",134,0,1,642,625,509,526,509,642,98,496093,"Glyphis garricki","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487827","KY039268.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487813","KY039267.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487799","KY039266.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487785","KY039265.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487771","KY039264.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487757","KY039263.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487743","KY039262.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487729","KY039261.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487715","KY039260.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487701","KY039259.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487687","KY039258.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487673","KY039257.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487659","KY039256.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487645","KY039255.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487631","KY039254.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487617","KY039253.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487603","KY039252.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487589","KY039251.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487575","KY039250.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487561","KY039249.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487547","KY039248.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487533","KY039247.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487519","KY039246.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487505","KY039245.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487491","KY039244.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487477","KY039243.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487463","KY039242.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487449","KY039241.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487435","KY039240.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487421","KY039239.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487407","KY039238.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487393","KY039237.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487379","KY039236.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487365","KY039235.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487351","KY039234.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487337","KY039233.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487323","KY039232.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487309","KY039231.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487295","KY039230.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487281","KY039229.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487267","KY039228.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487253","KY039227.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487239","KY039226.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487225","KY039225.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487211","KY039224.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487197","KY039223.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487183","KY039222.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487169","KY039221.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487155","KY039220.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487141","KY039219.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487127","KY039218.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487113","KY039217.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487099","KY039216.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487085","KY039215.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487071","KY039214.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487057","KY039213.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487043","KY039212.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487029","KY039211.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487015","KY039210.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108487001","KY039209.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
"1108486987","KY039208.1",134,0,1,641,624,508,525,508,641,98,571825,"Glyphis glyphis","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Glyphis",NA,NA,"Galeoidea",NA,NA,NA,NA,NA,NA,NA
